Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Length
1778138873.6761298,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138873.7047513,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138873.7205672,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778138873.778555,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138873.8809557,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138873.9096546,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138873.9842982,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138874.012612,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138874.0864768,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138874.1143763,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138874.188281,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138874.1919818,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138874.191994,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138874.1922562,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138874.1933634,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138874.209297,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138874.2093146,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138874.216906,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138874.2423623,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138874.2573216,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138874.2573338,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138874.2910223,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138874.3192427,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138874.39303,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138874.42168,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138874.4296122,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138874.4296243,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138874.4962962,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138874.5087829,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138874.5087984,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138874.51088,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138874.5108933,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138874.5142279,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138874.5142446,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138874.5257547,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138874.525776,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138874.525797,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138874.598599,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138874.6283078,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138874.7003517,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138874.7292056,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138874.802651,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138874.8065572,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138874.8065739,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138874.8068328,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138874.8085506,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138874.8088984,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138874.8099267,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138874.8263986,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138874.826415,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138874.831819,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138874.9050076,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138874.9336576,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138875.008283,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138875.0365777,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138875.1105945,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138875.114203,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138875.1142192,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.1142232,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138875.1152623,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138875.1152759,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138875.117089,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138875.1171021,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138875.1325765,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138875.1325927,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.138479,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138875.212539,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138875.2408361,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138875.3146794,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138875.3329985,0.0.0.0,0.0.0.0,0,0,OTHER,675
1778138875.3432643,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138875.4170172,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138875.4456704,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138875.463994,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138875.4640067,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.4693425,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138875.4693606,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.5203552,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138875.5235758,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138875.5235922,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.525217,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.525231,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.5252335,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.525236,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.5255246,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138875.5266073,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.54236,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778138875.5423663,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.548294,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778138875.622155,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778138875.6343286,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138875.635249,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.635259,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6356082,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.635617,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6360655,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6360755,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6364098,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6364198,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6368484,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6368585,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.637167,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6371691,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6373405,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6373684,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6376078,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138875.6376867,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6376958,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.638214,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6382244,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.638376,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6384072,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6387162,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6387458,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6390607,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6390996,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6394532,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6394815,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6398835,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.639924,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6400876,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138875.640259,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6402886,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6404693,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138875.640659,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6406896,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6412134,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138875.6414294,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6422765,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6423147,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6427684,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6427984,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.643115,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.643145,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6435049,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6435351,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6437976,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6438265,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6442056,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6442273,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6446083,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6446383,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6450331,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6450646,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.645556,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6455855,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6457658,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778138875.6458592,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778138875.6458871,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778138875.6471937,0.0.0.0,0.0.0.0,0,0,OTHER,84
