Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Length
1778137529.714162,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.7142031,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7143319,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7145162,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778137529.7168567,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.7168934,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7170436,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778137529.7171876,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.717217,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7175312,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.717551,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.717709,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778137529.7178924,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.7179215,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7212377,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.7212625,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7214265,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778137529.7215245,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.721556,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7226505,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7324846,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.7325194,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7326455,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778137529.732812,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7329247,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.732955,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7348034,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.7348301,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7352252,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.7352538,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7356331,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.7356608,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7359705,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.7359998,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7361846,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778137529.7363017,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.7363293,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778137529.7366495,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778137529.736678,0.0.0.0,0.0.0.0,0,0,OTHER,70
