Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Length
1778136687.144149,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778136687.144182,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.1642394,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778136687.1642776,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.197178,0.0.0.0,0.0.0.0,0,0,OTHER,410
1778136687.2067041,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778136687.2067227,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.206738,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136687.2068489,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.207025,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136687.2071311,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136687.207158,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.207606,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136687.2076442,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.2077096,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778136687.2077408,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.2079926,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136687.2080219,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.2082667,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136687.2084048,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136687.2084346,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.208678,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136687.2092452,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136687.2093115,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.2095249,0.0.0.0,0.0.0.0,0,0,OTHER,180
1778136687.2095635,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.209778,0.0.0.0,0.0.0.0,0,0,OTHER,180
1778136687.209837,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.210278,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136687.2104156,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136687.2241054,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136687.224138,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.2241907,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778136687.224222,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.2322636,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778136687.260507,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778136687.2605433,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.2994153,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778136687.3347688,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778136687.4019394,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778136687.4162805,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136687.4169323,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136687.417322,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136687.4173317,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136687.4173348,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136687.426581,0.0.0.0,0.0.0.0,0,0,OTHER,136
1778136687.4358404,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.4374866,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778136687.5042624,0.0.0.0,0.0.0.0,0,0,OTHER,410
1778136687.5043442,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778136687.504359,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.50502,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136687.5050337,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.5050366,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136687.5050392,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136687.5050418,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.5050616,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778136687.5051441,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.5053256,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778136687.5053282,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136687.5059423,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136687.5059562,0.0.0.0,0.0.0.0,0,0,OTHER,70
