Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Length
1778143791.5563867,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.556839,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5571246,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5574176,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.558297,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5592883,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.559615,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5605285,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5607162,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5610285,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5611339,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5614555,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5617442,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5622873,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5628357,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5633123,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5635338,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5652258,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5680754,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5698164,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5714688,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.571498,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.571657,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5718467,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.5718777,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.5744104,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.57445,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.5746033,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5748162,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.5748436,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.5863674,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.586395,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.5865705,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5866416,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.586672,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.5871623,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5919414,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.5984511,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.6015632,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.6102078,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.6111956,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.6115842,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.6151617,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778143791.6276786,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.6278198,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.6301546,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778143791.6495636,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.65233,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.6524403,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.6526194,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.65282,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.6530366,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.65322,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.6533983,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.6536033,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.6536636,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.6642795,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.6643195,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.667201,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.6708517,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.6716757,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.6787167,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.6788464,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.6911213,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.6911564,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.714254,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.7142866,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.714478,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7164795,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7174792,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778143791.717854,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7184026,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7237608,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7252157,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.7252753,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.7253575,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.725418,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.7290084,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7299325,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.7299924,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.732206,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778143791.7514462,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7525995,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7542493,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.7543104,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.759328,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.7593522,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.759529,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7595704,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.7596033,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.7607148,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.767654,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.7676663,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.7699234,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7704275,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7704597,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.770896,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7711911,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.771932,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.772215,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7724264,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7729425,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.774477,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7747824,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7751694,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.776286,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7775958,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7842717,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7842855,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.784288,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7853673,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7871063,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.7898464,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.8155987,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.815624,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.8159041,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.8159063,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.815907,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.8167133,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.8167233,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.8169057,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.817048,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.8170502,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.8191164,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.8191438,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.8193007,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.8193915,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.8194168,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.819591,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.8201656,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778143791.8202791,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.8203485,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.8204958,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.8205242,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.8223805,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.827282,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.8274193,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.8346128,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778143791.8403141,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778143791.8403301,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.8712761,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.8712916,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.8712945,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.8712971,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.8713002,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.871303,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.872093,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.8721073,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.8721101,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.8721128,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.8721151,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.8730063,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.873021,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.873024,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.8730268,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778143791.8730292,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778143791.874258,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.8762553,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778143791.880258,0.0.0.0,0.0.0.0,0,0,OTHER,79
1778143791.8802946,0.0.0.0,0.0.0.0,0,0,OTHER,88
