Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Length
1778134110.6971154,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778134110.708184,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778134110.7082136,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.7083638,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.7083952,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.7085907,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778134110.717219,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.7172449,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.717392,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778134110.7175426,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.717573,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.7273452,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.727385,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.727516,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.727684,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.7277145,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.7279165,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778134110.7280571,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.7280884,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.7282498,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.7343347,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.7343657,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.734497,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778134110.7347002,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.7347317,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.7390559,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.7390945,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.7392442,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.739456,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.7394845,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.7396364,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778134110.7398002,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.7398317,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.7592213,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778134110.7775812,0.0.0.0,0.0.0.0,0,0,OTHER,81
1778134110.7795544,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.779564,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.7796597,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.779883,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.7798848,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.78023,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778134110.8008485,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778134110.8181705,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.8181832,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.818615,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.8186243,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.8193026,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.8193114,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.819772,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.819781,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.820106,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.8201365,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.8206782,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.8206878,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.821012,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.8210425,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.821413,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778134110.8214715,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.8216407,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.8216715,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.8222058,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.8222365,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.822824,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.822862,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.8232353,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778134110.8242228,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.824252,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.8246207,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.824654,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.8248415,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778134110.8261018,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.8261316,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.8262923,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.8271465,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.827176,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.8276749,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.8277028,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778134110.827997,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778134110.8281014,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778134110.8281324,0.0.0.0,0.0.0.0,0,0,OTHER,70
