Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Length
1778132888.4374537,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.4374893,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.437642,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.4380815,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.438141,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.4384875,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.43855,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.439045,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.4391382,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.4394622,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.4395273,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.4397235,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778132888.44136,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778132888.4415781,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.4418309,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.4423068,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.4430697,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.4565668,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778132888.4566197,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.4681523,0.0.0.0,0.0.0.0,0,0,OTHER,1370
1778132888.4702275,0.0.0.0,0.0.0.0,0,0,OTHER,1370
1778132888.4720745,0.0.0.0,0.0.0.0,0,0,OTHER,1370
1778132888.4741693,0.0.0.0,0.0.0.0,0,0,OTHER,1370
1778132888.476388,0.0.0.0,0.0.0.0,0,0,OTHER,1370
1778132888.4786885,0.0.0.0,0.0.0.0,0,0,OTHER,1370
1778132888.4884396,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.4884732,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.4903858,0.0.0.0,0.0.0.0,0,0,OTHER,1370
1778132888.490534,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.490561,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.490732,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778132888.4925797,0.0.0.0,0.0.0.0,0,0,OTHER,1370
1778132888.4944437,0.0.0.0,0.0.0.0,0,0,OTHER,1370
1778132888.4950347,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778132888.4951825,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.4952133,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.4953966,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778132888.495485,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.495516,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.4958708,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.495901,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.4962585,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.4962902,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.4964948,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.4965248,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.496996,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.497027,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.497559,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.4975889,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.4977596,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.4978254,0.0.0.0,0.0.0.0,0,0,OTHER,80
1778132888.502555,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.502582,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5027716,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778132888.5035768,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.5036142,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5037625,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5060759,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.506103,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5065255,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.506556,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5072415,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.507274,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5083513,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.5083802,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.508542,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5087082,0.0.0.0,0.0.0.0,0,0,OTHER,81
1778132888.508951,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.508981,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5093062,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.5093367,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5095224,0.0.0.0,0.0.0.0,0,0,OTHER,112
1778132888.5096657,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.5096967,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5098653,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.52991,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.531897,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.531923,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5322046,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.5322394,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5324123,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778132888.5325608,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.5325887,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5340714,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.5341003,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5342891,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778132888.534468,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.534498,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5352685,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.535301,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5354655,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.542765,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778132888.5506513,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.5506544,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5508003,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778132888.5508807,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.5509107,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.553868,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.5538974,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5541036,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.554132,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5542998,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5561774,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.5562053,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5563562,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5628846,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778132888.567438,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5832486,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.5832555,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5834155,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.584066,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778132888.5840712,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778132888.5842316,0.0.0.0,0.0.0.0,0,0,OTHER,88
