Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Length
1778136096.934367,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.935139,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.935305,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9356198,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9357712,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.940535,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9412906,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.941395,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9445395,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9453099,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9462109,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9468286,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9469311,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9483197,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9489293,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9496562,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9530535,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9542475,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778136096.9544535,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9545593,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9547503,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9554126,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9555151,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.956451,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9571638,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9572651,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.957865,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9580922,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9583347,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9587834,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9590921,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9593713,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9596698,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9597764,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.962928,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136096.9913747,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778136096.9966505,0.0.0.0,0.0.0.0,0,0,OTHER,1047
1778136097.0042071,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.005233,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0071747,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0279908,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778136097.0280242,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.0290043,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.032231,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0498238,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0566819,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778136097.0721407,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.0730238,0.0.0.0,0.0.0.0,0,0,OTHER,138
1778136097.07303,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.0731018,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136097.0749319,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.077716,0.0.0.0,0.0.0.0,0,0,OTHER,81
1778136097.0778944,0.0.0.0,0.0.0.0,0,0,OTHER,422
1778136097.0809534,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.082777,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0875578,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778136097.0875912,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.0880268,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.088196,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0883815,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0892482,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0897615,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0898716,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0899878,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0908804,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0914738,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0915787,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0916946,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0919318,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0928593,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.093774,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778136097.0940557,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.094299,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0944998,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.0946577,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.1032705,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.111578,0.0.0.0,0.0.0.0,0,0,OTHER,84
1778136097.1115847,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.1118662,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136097.1118681,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.1120257,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.1120489,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136097.112106,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.1126354,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.1206982,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.1215045,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.148346,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.159207,0.0.0.0,0.0.0.0,0,0,OTHER,410
1778136097.1600854,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778136097.1600976,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.1603062,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136097.1603432,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.1605139,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.1607616,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136097.1607635,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.1622424,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136097.1622787,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.1624136,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.16348,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.164693,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.1705458,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.1713858,0.0.0.0,0.0.0.0,0,0,OTHER,76
1778136097.1714249,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.171566,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.1798108,0.0.0.0,0.0.0.0,0,0,OTHER,81
1778136097.1962054,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778136097.2002866,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778136097.2003253,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.234024,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778136097.234041,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.2484798,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.262238,0.0.0.0,0.0.0.0,0,0,OTHER,409
1778136097.2727664,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778136097.2727962,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.2769384,0.0.0.0,0.0.0.0,0,0,OTHER,79
1778136097.2863884,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778136097.2864056,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.2986426,0.0.0.0,0.0.0.0,0,0,OTHER,469
1778136097.3195014,0.0.0.0,0.0.0.0,0,0,OTHER,86
1778136097.3195946,0.0.0.0,0.0.0.0,0,0,OTHER,70
1778136097.328266,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.3293157,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.3297622,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.333858,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.3338733,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.3338764,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.3338876,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.3360252,0.0.0.0,0.0.0.0,0,0,OTHER,88
1778136097.3360407,0.0.0.0,0.0.0.0,0,0,OTHER,88
